キーワード,日付と時刻,ソース,イベント ID,タスクのカテゴリ
成功の監査,2026/05/13 8:41:54,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:39:50,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:37:45,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:37:45,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:36:54,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:34:55,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:34:55,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:31:54,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:30:02,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2026/05/13 8:30:02,Microsoft-Windows-Security-Auditing,4624,Logon,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		PCA2355JAB$
	アカウント ドメイン:		WORKGROUP
	ログオン ID:		0x3E7

ログオン情報:
	ログオン タイプ:		5
	制限付き管理モード:	-
	リモート資格情報ガード:	-
	仮想アカウント:		いいえ
	昇格されたトークン:		はい

偽装レベル:		偽装

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3E7
	リンクされたログオン ID:		0x0
	ネットワーク アカウント名:	-
	ネットワーク アカウント ドメイン:	-
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x4c8
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	-
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

偽装レベルのフィールドは、ログオン セッション内のプロセスが偽装できる程度を示します。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
